account_id,account_name,account_type,industry,geography,country,region,company_size,employee_band,revenue_band,buyer_persona_primary,buyer_persona_secondary,account_tier,current_customer_flag,strategic_account_flag,digital_maturity_score,data_intensity_score,propensity_score,sales_coverage_flag,owner_type
A0001,Crescent Solutions 001,Prospect,Healthcare,APAC,Singapore,Singapore,Enterprise,5000-9999,$1B-$5B,Product,CFO,Tier 2,No,No,85,73,72,Covered,Hunter
A0002,Atlas Global 002,Customer,Technology,Middle East,United Arab Emirates,UAE,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,Yes,No,63,84,64,Covered,Farmer
A0003,Meridian Insights 003,Prospect,Technology,Europe,Germany,DACH,Mid-Market,1000-4999,$250M-$1B,CFO,CRO,Tier 3,No,No,75,68,72,Covered,Hunter
A0004,BluePeak Industries 004,Customer,Financial Services,APAC,Australia,Australia,Strategic,10000+,$5B+,CRO,CFO,Tier 1,Yes,Yes,49,88,66,Covered,Farmer
A0005,Clearview Ventures 005,Customer,Healthcare,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,62,73,63,Covered,Farmer
A0006,Horizon Enterprises 006,Customer,Manufacturing,North America,Canada,Canada,Mid-Market,1000-4999,$250M-$1B,Strategy,Product,Tier 3,Yes,No,76,89,89,Uncovered,No Owner
A0007,Frontier Digital 007,Prospect,Technology,Europe,United Kingdom,UKI,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,No,No,84,66,71,Covered,Hunter
A0008,Trinity Global 008,Prospect,Financial Services,North America,Canada,Canada,Strategic,10000+,$5B+,Strategy,Product,Tier 1,No,Yes,76,78,82,Uncovered,No Owner
A0009,Meridian Ventures 009,Customer,Healthcare,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,CRO,CFO,Tier 2,Yes,No,55,85,69,Covered,Farmer
A0010,Nexus Enterprises 010,Prospect,Technology,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,99,91,91,Uncovered,No Owner
A0011,Orion Systems 011,Prospect,Technology,North America,United States,US West,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,55,91,68,Covered,Hunter
A0012,BluePeak Holdings 012,Prospect,Technology,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,No,No,57,89,58,Uncovered,No Owner
A0013,Frontier Networks 013,Customer,Financial Services,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,68,84,79,Covered,Farmer
A0014,Trinity Global 014,Prospect,Technology,Europe,France,France,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,No,No,86,90,70,Uncovered,No Owner
A0015,Nova Partners 015,Prospect,Financial Services,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,Strategy,CRO,Tier 3,No,No,53,75,62,Covered,Hunter
A0016,Nexus Systems 016,Prospect,Manufacturing,APAC,Japan,Japan,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,43,67,48,Uncovered,No Owner
A0017,Northstar Networks 017,Customer,Technology,APAC,Japan,Japan,Strategic,10000+,$5B+,Strategy,CRO,Tier 1,Yes,Yes,73,71,73,Uncovered,No Owner
A0018,Horizon Technologies 018,Prospect,Financial Services,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,No,No,45,69,55,Uncovered,No Owner
